source,section,url
Ansa,Prima Pagina,https://www.ansa.it/sito/ansait_rss.xml
Ansa,Politica,https://www.ansa.it/sito/notizie/politica/politica_rss.xml
Ansa,News estere,https://www.ansa.it/sito/notizie/mondo/mondo_rss.xml
Ansa,News Europa,https://www.ansa.it/europa/notizie/rss.xml
Ansa,Europarlamento,https://www.ansa.it/europa/notizie/europarlamento/news/europarlamento_rss.xml
Ansa,Sport,https://www.ansa.it/sito/notizie/sport/sport_rss.xml
Ansa,Economia,https://www.ansa.it/sito/notizie/economia/economia_rss.xml
Ansa,Cronaca,https://www.ansa.it/sito/notizie/cronaca/cronaca_rss.xml
Ansa,Terra e Gusto,https://www.ansa.it/canale_terraegusto/notizie/terraegusto_rss.xml
Rai,Ultima Ora,https://www.rainews.it/rss/ultimora
Rai,Politica,https://www.rainews.it/rss/politica
Rai,Ambiente,https://www.rainews.it/rss/ambiente
Rai,Economia e Finanza,https://www.rainews.it/rss/economiaefinanza
Rai,Scienza e Tecnologia,https://www.rainews.it/rss/scienzaetecnologia
Rai,Viaggi e Turismo,https://www.rainews.it/rss/viaggieturismo
Rai,Sport,https://www.rainews.it/rss/sport
Rai,Cronaca,https://www.rainews.it/rss/cronaca
Rai,Tempo Libero,https://www.rainews.it/rss/stilidivitaetempolibero
Rai,Salute,https://www.rainews.it/rss/salute
Rai,Arti e Spettacolo,https://www.rainews.it/rss/artiespettacolo
Rai,Societa,https://www.rainews.it/rss/societa
Rai,Esteri,https://www.rainews.it/rss/esteri
Rai,Inchieste,https://www.rainews.it/rss/inchieste
Rai,Spettacolo,https://www.rainews.it/rss/spettacolo
Adnkronos,Prima Pagina,https://www.adnkronos.com/RSS_PrimaPagina.xml
Adnkronos,Ultima Ora,https://www.adnkronos.com/RSS_Ultimora.xml
Adnkronos,Politica,https://www.adnkronos.com/RSS_Politica.xml
Adnkronos,Esteri,https://www.adnkronos.com/RSS_Esteri.xml
Adnkronos,Cronaca,https://www.adnkronos.com/RSS_Cronaca.xml
Adnkronos,Economia,https://www.adnkronos.com/RSS_Economia.xml
Adnkronos,Finanza,https://www.adnkronos.com/RSS_Finanza.xml
Adnkronos,Spettacolo,https://www.adnkronos.com/RSS_Spettacolo.xml
Adnkronos,Cultura,https://www.adnkronos.com/RSS_Cultura.xml
Adnkronos,Sport,https://www.adnkronos.com/RSS_Sport.xml
Adnkronos,Sostenibilita,https://www.adnkronos.com/RSS_Sostenibilita.xml
Adnkronos,Salute,https://www.adnkronos.com/RSS_Salute.xml
Adnkronos,Lavoro,https://www.adnkronos.com/RSS_Labitalia.xml
Repubblica,Homepage,https://www.repubblica.it/rss/homepage/rss2.0.xml
Repubblica,Politica,https://www.repubblica.it/rss/politica/rss2.0.xml
Repubblica,Esteri,https://www.repubblica.it/rss/esteri/rss2.0.xml
Repubblica,Economia,https://www.repubblica.it/rss/economia/rss2.0.xml
Repubblica,Cronaca,https://www.repubblica.it/rss/cronaca/rss2.0.xml
Repubblica,Ambiente,https://www.repubblica.it/rss/ambiente/rss2.0.xml
Repubblica,Solidarieta,https://www.repubblica.it/rss/solidarieta/rss2.0.xml
Repubblica,Persone,https://www.repubblica.it/rss/persone/rss2.0.xml
Repubblica,Salute,https://www.repubblica.it/rss/salute/rss2.0.xml
Repubblica,Scuola e Universita,https://www.repubblica.it/rss/scuola_e_universita/rss2.0.xml
Repubblica,Scienze,https://www.repubblica.it/rss/scienze/rss2.0.xml
Repubblica,Tecnologia,https://www.repubblica.it/rss/tecnologia/rss2.0.xml
Repubblica,Calcio,https://www.repubblica.it/rss/sport/calcio/rss2.0.xml
Repubblica,Formula Uno,https://www.repubblica.it/rss/sport/formulauno/rss2.0.xml
Repubblica,MotoGP,https://www.repubblica.it/rss/sport/motogp/rss2.0.xml
Repubblica,Tennis,https://www.repubblica.it/rss/sport/tennis/rss2.0.xml
Repubblica,Basket,https://www.repubblica.it/rss/sport/basket/rss2.0.xml
